LAYER SALARIES,,,,,,,
RANK,NAME,TEAM,POS, SALARY ,YEARS, TOTAL VALUE , AVG ANNUAL 
735,Miguel Diaz,SD,RP," 560,400.00 ",1 (2019)," 560,400.00 "," 560,400.00 "
735,Wilmer Font,TB,RP," 560,400.00 ",1 (2019)," 560,400.00 "," 560,400.00 "
739,Jose Castillo,SD,RP," 560,300.00 ",1 (2019)," 560,300.00 "," 560,300.00 "
740,Franchy Cordero,SD,CF," 560,100.00 ",1 (2019)," 560,100.00 "," 560,100.00 "
740,Dwight Smith Jr.,BAL,OF," 560,100.00 ",1 (2019)," 560,100.00 "," 560,100.00 "
740,Thomas Pannone,TOR,RP," 560,100.00 ",1 (2019)," 560,100.00 "," 560,100.00 "
743,Ryan McMahon,COL,2B," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Carson Kelly,ARI,C," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Willians Astudillo,MIN,C," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Ronald Acuna Jr.,ATL,LF," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,David Dahl,COL,LF," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Alex Verdugo,LAD,OF," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Rosell Herrera,MIA,OF," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Raimel Tapia,COL,OF," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Caleb Ferguson,LAD,RP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Adalberto Mejia,MIN,RP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Matt Magill,MIN,RP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Gabriel Moya,MIN,RP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Daniel Gossett,OAK,SP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Frankie Montas,OAK,SP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Aaron Brooks,OAK,SP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Antonio Senzatela,COL,SP," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,JT Riddle,MIA,SS," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
743,Jose Rondon,CWS,SS," 560,000.00 ",1 (2019)," 560,000.00 "," 560,000.00 "
761,Robert Stock,SD,RP," 559,900.00 ",1 (2019)," 559,500.00 "," 559,500.00 "
762,Christian Walker,ARI,1B," 559,800.00 ",1 (2019)," 559,800.00 "," 559,800.00 "
763,Shane Bieber,CLE,SP," 559,600.00 ",1 (2019)," 559,600.00 "," 559,600.00 "
764,Billy McKinney,TOR,OF," 559,400.00 ",1 (2019)," 559,400.00 "," 559,400.00 "
765,Dominic Smith,NYM,1B," 559,320.00 ",1 (2019)," 559,320.00 "," 559,320.00 "
766,Nick Rumbelow,SEA,RP," 559,300.00 ",1 (2019)," 559,300.00 "," 559,300.00 "
767,Andrew Stevenson,WSH,OF," 559,100.00 ",1 (2019)," 559,100.00 "," 559,100.00 "
767,Shawn Armstrong,SEA,RP," 559,100.00 ",1 (2019)," 559,100.00 "," 559,100.00 "
767,Victor Alcantara,DET,RP," 559,100.00 ",1 (2019)," 559,100.00 "," 559,100.00 "
767,Dakota Hudson,STL,SP," 559,100.00 ",1 (2019)," 559,100.00 "," 559,100.00 "
771,Roman Quinn,PHI,OF," 559,000.00 ",1 (2019)," 559,000.00 "," 559,000.00 "
771,Paul Fry,BAL,RP," 559,000.00 ",1 (2019)," 559,000.00 "," 559,000.00 "
771,Jimmy Yacabonis,BAL,RP," 559,000.00 ",1 (2019)," 559,000.00 "," 559,000.00 "
771,Nick Burdi,PIT,RP," 559,000.00 ",1 (2019)," 559,000.00 "," 559,000.00 "
771,Manny Banuelos,CWS,RP," 559,000.00 ",1 (2019)," 559,000.00 "," 559,000.00 "
776,Danny Jansen,TOR,C," 558,700.00 ",1 (2019)," 558,700.00 "," 558,700.00 "
777,Daniel Vogelbach,SEA,1B," 558,600.00 ",1 (2019)," 558,600.00 "," 558,600.00 "
777,Grayson Greiner,DET,C," 558,600.00 ",1 (2019)," 558,600.00 "," 558,600.00 "
779,Sam Travis,BOS,1B," 558,500.00 ",1 (2019)," 558,500.00 "," 558,500.00 "
779,Rio Ruiz,BAL,3B," 558,500.00 ",1 (2019)," 558,500.00 "," 558,500.00 "
779,David Freitas,SEA,C," 558,500.00 ",1 (2019)," 558,500.00 "," 558,500.00 "
782,Yandy Diaz,TB,3B," 558,400.00 ",1 (2019)," 558,400.00 "," 558,400.00 "
782,Bobby Wahl,MIL,RP," 558,400.00 ",0 (2019)," 558,400.00 ", $NaN 
784,Steven Duggar,SF,CF," 558,125.00 ",1 (2019)," 558,125.00 "," 558,125.00 "
785,Austin Wynns,BAL,C," 558,000.00 ",1 (2019)," 558,000.00 "," 558,000.00 "
785,Luke Farrell,TEX,RP," 558,000.00 ",1 (2019)," 558,000.00 "," 558,000.00 "
785,Jose De Leon,TB,RP," 558,000.00 ",1 (2019)," 558,000.00 "," 558,000.00 "
785,Yohander Mendez,TEX,SP," 558,000.00 ",1 (2019)," 558,000.00 "," 558,000.00 "
789,Victor Robles,WSH,CF," 557,800.00 ",1 (2019)," 557,800.00 "," 557,800.00 "
790,Ryan O'Hearn,KC,1B," 557,650.00 ",1 (2019)," 557,650.00 "," 557,650.00 "
791,Alex Blandino,CIN,3B," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Kyle Farmer,CIN,C," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Ramon Laureano,OAK,CF," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Cedric Mullins,BAL,CF," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Nick Martini,OAK,OF," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Michael Reed,SF,RF," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Taylor Cole,LAA,RP," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Lou Trivino,OAK,RP," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,J.B. Wendelken,OAK,RP," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Drew Smith,NYM,RP," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
791,Kevin Newman,PIT,SS," 557,500.00 ",1 (2019)," 557,500.00 "," 557,500.00 "
802,Austin Meadows,TB,RF," 557,400.00 ",1 (2019)," 557,400.00 "," 557,400.00 "
803,Ty Buttrey,LAA,RP," 557,250.00 ",1 (2019)," 557,250.00 "," 557,250.00 "
803,Stephen Tarpley,NYY,RP," 557,250.00 ",1 (2019)," 557,250.00 "," 557,250.00 "
805,Trey Wingenter,SD,RP," 557,200.00 ",1 (2019)," 557,200.00 "," 557,200.00 "
806,Cam Gallagher,KC,C," 557,125.00 ",1 (2019)," 557,125.00 "," 557,125.00 "
807,Garrett Hampson,COL,2B," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
807,Mike Tauchman,NYY,OF," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
807,Pedro Araujo,BAL,RP," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
807,Jeffrey Springs,TEX,RP," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
807,Colten Brewer,BOS,RP," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
807,DJ Johnson,COL,RP," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
807,Harrison Musgrave,COL,RP," 557,000.00 ",1 (2019)," 557,000.00 "," 557,000.00 "
814,Yoan Lopez,ARI,RP," 556,900.00 ",1 (2019)," 556,900.00 "," 556,900.00 "
815,Jacob Nix,SD,SP," 556,800.00 ",1 (2019)," 556,800.00 "," 556,800.00 "
815,Anthony Banda,TB,SP," 556,800.00 ",1 (2019)," 556,800.00 "," 556,800.00 "
817,Michael Perez,TB,C," 556,700.00 ",1 (2019)," 556,700.00 "," 556,700.00 "
818,Michael Hermosillo,LAA,OF," 556,500.00 ",1 (2019)," 556,500.00 "," 556,500.00 "
818,Jonathan Davis,TOR,OF," 556,500.00 ",1 (2019)," 556,500.00 "," 556,500.00 "
818,Mark Zagunis,CHC,RF," 556,500.00 ",1 (2019)," 556,500.00 "," 556,500.00 "
818,Jalen Beeks,TB,RP," 556,500.00 ",1 (2019)," 556,500.00 "," 556,500.00 "
818,Caleb Smith,MIA,SP," 556,500.00 ",1 (2019)," 556,500.00 "," 556,500.00 "
823,Christin Stewart,DET,LF," 556,400.00 ",1 (2019)," 556,400.00 "," 556,400.00 "
824,Tomas Nido,NYM,C," 556,300.00 ",1 (2019)," 556,300.00 "," 556,300.00 "
824,Francisco Mejia,SD,C," 556,300.00 ",1 (2019)," 556,300.00 "," 556,300.00 "
826,Spencer Turnbull,DET,SP," 556,100.00 ",1 (2019)," 556,100.00 "," 556,100.00 "
827,Ryan Burr,CWS,RP," 556,000.00 ",1 (2019)," 556,000.00 "," 556,000.00 "
827,Ian Hamilton,CWS,RP," 556,000.00 ",1 (2019)," 556,000.00 "," 556,000.00 "
827,Brett Kennedy,SD,SP," 556,000.00 ",1 (2019)," 556,000.00 "," 556,000.00 "
830,Luis Guillorme,NYM,2B," 555,960.00 ",1 (2019)," 555,960.00 "," 555,960.00 "
831,Jon Edwards,CLE,RP," 555,900.00 ",1 (2019)," 555,900.00 "," 555,900.00 "
832,Matt Festa,SEA,RP," 555,500.00 ",1 (2019)," 555,500.00 "," 555,500.00 "
832,John Means,BAL,RP," 555,500.00 ",1 (2019)," 555,500.00 "," 555,500.00 "
834,Trevor Oaks,KC,RP," 555,350.00 ",0 (2019)," 555,350.00 ", $NaN 
835,Gerson Bautista,SEA,RP," 555,200.00 ",1 (2019)," 555,200.00 "," 555,200.00 "
836,Justin Williams,STL,OF," 555,100.00 ",0 (2019)," 555,100.00 ", $NaN 
837,Rowdy Tellez,TOR,1B," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Pete Alonso,NYM,1B," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Frank Schwindel,KC,1B," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Jake Noll,WSH,2B," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Connor Joe,SF,3B," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Chad Wallach,MIA,C," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Scott Heineman,TEX,OF," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Dustin Peterson,DET,OF," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Ryan Cordell,CWS,OF," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Garrett Cooper,MIA,RF," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Elvis Luciano,TOR,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Javy Guerra,TOR,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Jordan Hicks,STL,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Travis Bergen,SF,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Nick Vincent,SF,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Tyler Kinley,MIA,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Nick Anderson,MIA,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Austin Brice,MIA,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Julian Fernandez,MIA,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Riley Ferrell,MIA,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Tim Peterson,NYM,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Kyle Dowdy,TEX,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Kyle Bird,TEX,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Kyle Zimmer,KC,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Chris Ellis,KC,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Reed Garrett,DET,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Gregory Soto,DET,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Ryne Harper,MIN,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Caleb Frare,CWS,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Ben Heller,NYY,RP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Trent Thornton,TOR,SP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Pablo Lopez,MIA,SP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Sandy Alcantara,MIA,SP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Chris Paddack,SD,SP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Michael Kopech,CWS,SP," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Ildemaro Vargas,ARI,SS," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Eric Stamets,CLE,SS," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Richie Martin,BAL,SS," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Drew Jackson,BAL,SS," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Fernando Tatis Jr.,SD,SS," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
837,Troy Tulowitzki,NYY,SS," 555,000.00 ",1 (2019)," 555,000.00 "," 555,000.00 "
